episode_id,scene_id,family,yaw_deg,azimuth_deg,elevation_deg,distance_m,los_status,valid_direct_window,angle_deg
clsdoa_v1_pilot_005_ep_000001,replica.apartment_1,Replica,-27.531957204470917,22.5,-10.957175261054712,5.261074456793334,LOS,True,68.63806995542733
clsdoa_v1_pilot_005_ep_000002,replica.apartment_2,Replica,-22.15701154726382,-67.5,4.570555731066136,2.2565678985085893,LOS,True,7.362491743669274
clsdoa_v1_pilot_005_ep_000003,replica.frl_apartment_0,Replica,-117.25141211291879,67.5,0.0,2.267325943098967,LOS,True,4.26886823125797e-06
clsdoa_v1_pilot_005_ep_000004,replica.frl_apartment_1,Replica,-93.64575259641893,157.5,3.287347381436396,3.5330978084609943,LOS,True,0.009757560022279285
clsdoa_v1_pilot_005_ep_000005,replica.frl_apartment_3,Replica,-72.00540982028025,112.5,0.0,2.804452646041798,LOS,True,3.157022832190633
clsdoa_v1_pilot_005_ep_000006,replica.frl_apartment_4,Replica,-165.66607471903478,112.5,4.957322990754195,5.786119648552452,LOS,True,1.7075472925031877e-06
clsdoa_v1_pilot_005_ep_000007,replica.frl_apartment_2,Replica,-63.07294581794884,112.5,-1.2985769682643469,1.293651211070258,LOS,True,2.831646840510158e-06
clsdoa_v1_pilot_005_ep_000008,replica.hotel_0,Replica,-55.409835559014624,157.5,3.951843613204478,2.671106278912533,LOS,True,6.2155659652833185e-06
clsdoa_v1_pilot_005_ep_000009,replica.office_2,Replica,-124.92824325760736,157.5,0.0,5.688036606020518,LOS,True,24.527684714901394
clsdoa_v1_pilot_005_ep_000010,replica.office_4,Replica,42.913167691468146,-157.5,6.882122276341225,4.1726799246694934,LOS,True,0.9498172550221419
clsdoa_v1_pilot_005_ep_000011,replica.office_0,Replica,76.08798340944858,-67.5,-2.103146355263823,3.7977295349732847,LOS,True,115.92343512500125
clsdoa_v1_pilot_005_ep_000012,replica.apartment_1,Replica,-14.340832847104267,-67.5,0.0,1.3959539064642936,LOS,True,87.37517045817812
clsdoa_v1_pilot_005_ep_000013,replica.apartment_2,Replica,249.84926533269805,-112.50000000000004,-16.859259415659917,3.208284648020208,LOS,True,8.913658556096819e-06
clsdoa_v1_pilot_005_ep_000014,replica.room_0,Replica,149.4816505963885,-157.5,-0.6391301553292358,2.223233574094782,LOS,True,1.6231609471220672
clsdoa_v1_pilot_005_ep_000015,replica.frl_apartment_0,Replica,35.05282950534388,-112.5,-38.324027331135795,1.6126221145635782,LOS,True,0.32217634223574676
clsdoa_v1_pilot_005_ep_000016,replica.frl_apartment_3,Replica,200.98927591669386,-157.5,6.193313966763687,4.634635713356225,LOS,True,0.10431242429350657
clsdoa_v1_pilot_005_ep_000017,replica.frl_apartment_2,Replica,116.92705418205117,-67.5,-1.2985769682643469,1.293651211070258,LOS,True,2.831646840510158e-06
clsdoa_v1_pilot_005_ep_000018,replica.frl_apartment_4,Replica,40.30464270586173,-22.5,0.0,1.5814657589115397,LOS,True,0.0
clsdoa_v1_pilot_005_ep_000019,replica.office_2,Replica,-142.7036158177774,-22.5,0.0,1.384190288836107,LOS,True,0.8394500588859765
clsdoa_v1_pilot_005_ep_000020,replica.frl_apartment_1,Replica,28.25689525448228,-22.5,7.533272075678038,2.7699913046516267,LOS,True,1.0833622902560422
clsdoa_v1_pilot_005_ep_000021,replica.office_4,Replica,278.74522378424496,-112.50000000000003,0.0,1.6287722398281215,LOS,True,4.00455336570039e-06
clsdoa_v1_pilot_005_ep_000022,replica.apartment_1,Replica,-28.03405620157153,-112.50000000000003,13.99371039068953,2.0676931257451736,LOS,True,3.7215130446689415e-06
clsdoa_v1_pilot_005_ep_000023,replica.frl_apartment_0,Replica,44.08088605121968,67.5,0.0,1.8883278379153503,LOS,True,0.21711785960246088
clsdoa_v1_pilot_005_ep_000024,replica.frl_apartment_2,Replica,71.92705418205117,-22.5,-1.2985769682643469,1.293651211070258,LOS,True,8.537736462515939e-07
clsdoa_v1_pilot_005_ep_000025,replica.frl_apartment_3,Replica,51.855469579448624,67.5,0.0,1.4987061170424056,LOS,True,1.7075472925031877e-06
clsdoa_v1_pilot_005_ep_000026,replica.frl_apartment_4,Replica,175.30464270586174,-157.50000000000003,0.0,1.5814657589115397,LOS,True,0.0
clsdoa_v1_pilot_005_ep_000027,replica.office_2,Replica,-162.6761030584911,22.5,0.0,4.834170904370063,LOS,True,0.2070029952012014
clsdoa_v1_pilot_005_ep_000028,replica.hotel_0,Replica,79.59016444098538,22.5,3.951843613204478,2.671106278912533,LOS,True,2.4600204006086295
clsdoa_v1_pilot_005_ep_000029,mp3d.17DRP5sb8fy,MP3D,11.296183463585109,-67.5,0.0,3.2531325217329576,LOS,True,8.258134916058555
clsdoa_v1_pilot_005_ep_000030,mp3d.2azQ1b91cZZ,MP3D,-183.8101586622184,22.5,0.0,4.540080781831088,LOS,True,0.9922837969891948
clsdoa_v1_pilot_005_ep_000031,mp3d.5LpN3gDmAk7,MP3D,63.65422687316901,-112.50000000000001,0.0,1.0055632240453367,LOS,True,137.74504786023067
clsdoa_v1_pilot_005_ep_000032,mp3d.759xd9YjKW5,MP3D,98.66111032952355,67.5,0.0,5.574051332014181,LOS,True,71.40871361453772
