scene_id,scene_family,admitted_status,exclude_reason,split,runtime_sec,valid_probe_pair_count,total_sampling_attempts,binaural_status,foa_status,binaural_min_energy,foa_min_energy,paired_geometry_match,materials_mode
mp3d.17DRP5sb8fy,MP3D,PASS,,val,16.3165,2,6,PASS,PASS,0.0012290649505255352,0.0002402532208028763,True,off
mp3d.1LXtFkjw3qL,MP3D,PASS,,train,40.4156,2,18,PASS,PASS,0.021095086111122287,0.004131839011774569,True,off
mp3d.1pXnuDYAj8r,MP3D,PASS,,train,49.581,2,27,PASS,PASS,0.007800362032479718,0.001694954785083832,True,off
mp3d.29hnd4uzFmX,MP3D,PASS,,test,27.8813,2,11,PASS,PASS,0.04861219276950957,0.01046366904922208,True,off
mp3d.2azQ1b91cZZ,MP3D,PASS,,test,44.3777,2,18,PASS,PASS,7.473686355605456e-06,1.7781332542623078e-06,True,off
mp3d.2n8kARJN3HM,MP3D,PASS,,val,39.5401,2,46,PASS,PASS,1.4404757363849114,0.3296472859913918,True,off
mp3d.2t7WUuJeko7,MP3D,PASS,,train,16.3166,2,12,PASS,PASS,0.6352497829843902,0.13509864529836402,True,off
mp3d.5LpN3gDmAk7,MP3D,PASS,,val,23.932,2,38,PASS,PASS,0.37686960545776227,0.08074554500850643,True,off
mp3d.5ZKStnWn8Zo,MP3D,PASS,,test,40.8324,2,22,PASS,PASS,0.003095500454661895,0.0007157859586002738,True,off
mp3d.5q7pvUzZiYa,MP3D,PASS,,train,25.0609,2,26,PASS,PASS,0.00036704614294391733,9.474794462745629e-05,True,off
mp3d.759xd9YjKW5,MP3D,PASS,,test,27.9739,2,10,PASS,PASS,0.00777207756795147,0.0017125930957930203,True,off
mp3d.7y3sRwLe3Va,MP3D,PASS,,val,44.649,2,84,PASS,PASS,0.8179443176974402,0.18472482964703477,True,off
mp3d.8194nk5LbLH,MP3D,PASS,,train,8.6417,2,8,PASS,PASS,0.826753032493189,0.1558915310451023,True,off
mp3d.82sE5b5pLXE,MP3D,PASS,,train,19.1699,2,24,PASS,PASS,0.6651086499604935,0.1294249334660786,True,off
mp3d.8WUmhLawc2A,MP3D,PASS,,train,34.9145,2,22,PASS,PASS,1.353895790380532,0.29234389192232707,True,off
mp3d.ARNzJeq3xxb,MP3D,PASS,,test,21.6842,2,15,PASS,PASS,0.6071263680245478,0.1209691864436333,True,off
